Date,Ticker,Open,High,Low,Close,Volume,Daily_Return_Pct,SMA_7,SMA_30,RSI_14,BB_Upper,BB_Lower,BB_Mid,Value_Traded_Cr
2023-01-02,HDFCBANK,1551.3,1565.09,1541.6,1555.46,1968964,,,,,,,,306.26
2023-01-03,HDFCBANK,1527.81,1531.86,1513.75,1527.28,1889370,-1.8117,,,,,,,288.56
2023-01-04,HDFCBANK,1523.47,1531.34,1521.98,1528.07,4053967,0.0517,,,,,,,619.47
2023-01-05,HDFCBANK,1504.52,1516.89,1502.68,1504.39,5705196,-1.5497,,,,,,,858.28
2023-01-06,HDFCBANK,1498.16,1513.86,1497.29,1503.31,4802177,-0.0718,,,,,,,721.92
2023-01-09,HDFCBANK,1483.71,1484.88,1481.02,1481.18,5405503,-1.4721,,,,,,,800.65
2023-01-10,HDFCBANK,1469.09,1473.23,1439.53,1465.37,5522544,-1.0674,1509.29,,,,,,809.26
2023-01-11,HDFCBANK,1477.53,1488.74,1464.23,1483.31,5121627,1.2243,1498.99,,,,,,759.7
2023-01-12,HDFCBANK,1488.3,1489.72,1468.4,1488.78,3751667,0.3688,1493.49,,,,,,558.54
2023-01-13,HDFCBANK,1482.52,1495.63,1479.2,1488.91,4761254,0.0087,1487.89,,,,,,708.91
2023-01-16,HDFCBANK,1509.15,1519.02,1503.91,1507.67,4262718,1.26,1488.36,,,,,,642.68
2023-01-17,HDFCBANK,1514.61,1524.12,1511.45,1518.19,2053436,0.6978,1490.49,,,,,,311.75
2023-01-18,HDFCBANK,1550.02,1573.91,1543.75,1549.59,3991303,2.0683,1500.26,,,,,,618.49
2023-01-19,HDFCBANK,1540.25,1562.23,1527.14,1539.98,1694539,-0.6202,1510.92,,,,,,260.96
2023-01-20,HDFCBANK,1537.58,1550.95,1516.01,1531.08,4319471,-0.5779,1517.74,,43.73,,,,661.35
2023-01-23,HDFCBANK,1504.52,1505.57,1498.21,1503.78,2829493,-1.7831,1519.89,,43.93,,,,425.49
2023-01-24,HDFCBANK,1496.34,1506.1,1490.81,1495.1,1655993,-0.5772,1520.77,,41.82,,,,247.59
2023-01-25,HDFCBANK,1514.28,1520.67,1506.58,1515.77,3828197,1.3825,1521.93,,52.87,,,,580.27
2023-01-26,HDFCBANK,1550.88,1580.92,1522.02,1543.95,4455937,1.8591,1525.61,,59.01,,,,687.97
2023-01-27,HDFCBANK,1569.53,1574.14,1555.63,1565.19,2462475,1.3757,1527.84,,68.7,1569.51,1460.12,1514.82,385.42
2023-01-30,HDFCBANK,1523.42,1532.1,1522.85,1526.7,4680892,-2.4591,1525.94,,62.4,1565.0,1461.76,1513.38,714.63
2023-01-31,HDFCBANK,1555.71,1563.83,1541.47,1550.37,4781761,1.5504,1528.69,,63.25,1568.45,1460.62,1514.53,741.35
2023-02-01,HDFCBANK,1510.28,1526.31,1504.64,1511.3,3440869,-2.52,1529.77,,53.93,1567.24,1460.15,1513.7,520.02
2023-02-02,HDFCBANK,1535.79,1548.62,1524.83,1530.76,3146400,1.2876,1534.86,,56.84,1568.89,1461.14,1515.01,481.64
2023-02-03,HDFCBANK,1528.15,1546.24,1516.68,1523.23,4579452,-0.4919,1535.93,,52.64,1569.71,1462.31,1516.01,697.56
2023-02-06,HDFCBANK,1533.84,1551.92,1531.27,1538.63,1567761,1.011,1535.17,,53.41,1570.86,1466.91,1518.88,241.22
2023-02-07,HDFCBANK,1513.57,1556.32,1497.29,1510.53,3483545,-1.8263,1527.36,,43.41,1566.88,1475.4,1521.14,526.2
2023-02-08,HDFCBANK,1532.61,1544.0,1528.25,1535.83,1229431,1.6749,1528.66,,49.33,1566.28,1481.26,1523.77,188.82
2023-02-09,HDFCBANK,1501.94,1535.8,1493.16,1504.99,3122695,-2.008,1522.18,,46.09,1564.84,1484.32,1524.58,469.96
2023-02-10,HDFCBANK,1488.26,1493.52,1484.74,1491.3,1282857,-0.9096,1519.32,1517.33,48.05,1564.52,1484.87,1524.7,191.31
