Date,Ticker,Open,High,Low,Close,Volume
2023-01-02,RELIANCE,2412.63,2425.15,2409.4,2422.28,1586261
2023-01-03,RELIANCE,2408.59,2417.68,2406.08,2416.98,4388883
2023-01-04,RELIANCE,2439.85,2466.46,2426.57,2446.06,4060020
2023-01-05,RELIANCE,2506.27,2525.99,2500.71,2514.8,4939346
2023-01-06,RELIANCE,2497.13,2514.66,2492.57,2504.98,3701721
2023-01-09,RELIANCE,2489.83,2527.64,2468.18,2495.19,962394
2023-01-10,RELIANCE,2559.51,2572.52,2553.07,2567.9,4614798
2023-01-11,RELIANCE,2614.73,2618.02,2595.12,2604.4,4420465
2023-01-12,RELIANCE,2572.42,2587.0,2571.85,2583.26,3942400
2023-01-13,RELIANCE,2610.04,2633.7,2606.71,2609.4,3764339
2023-01-16,RELIANCE,2586.18,2589.93,2570.9,2588.5,2672453
2023-01-17,RELIANCE,2580.05,2584.24,2562.58,2567.66,5291090
2023-01-18,RELIANCE,2569.63,2588.76,2564.25,2579.64,3195937
2023-01-19,RELIANCE,2490.51,2495.86,2479.78,2493.06,5037983
2023-01-20,RELIANCE,2428.92,2435.62,2413.92,2417.57,1787371
2023-01-23,RELIANCE,2402.69,2405.6,2385.55,2393.94,2533779
2023-01-24,RELIANCE,2358.86,2374.96,2340.95,2351.4,4072028
2023-01-25,RELIANCE,2359.72,2380.85,2340.06,2365.45,2111305
2023-01-26,RELIANCE,2320.14,2329.79,2299.58,2327.8,1941875
2023-01-27,RELIANCE,2273.88,2284.38,2259.02,2270.05,2938114
2023-01-30,RELIANCE,2341.44,2359.37,2329.22,2331.43,3766958
2023-01-31,RELIANCE,2323.99,2346.84,2319.9,2322.67,1455163
2023-02-01,RELIANCE,2327.87,2336.25,2323.13,2326.2,2335038
2023-02-02,RELIANCE,2262.99,2273.64,2254.83,2267.98,4278932
2023-02-03,RELIANCE,2252.59,2276.07,2237.94,2246.54,2744332
2023-02-06,RELIANCE,2244.65,2252.69,2238.82,2251.7,4933450
2023-02-07,RELIANCE,2202.3,2214.52,2200.63,2206.19,1254268
2023-02-08,RELIANCE,2220.17,2250.05,2217.34,2221.83,4041379
2023-02-09,RELIANCE,2198.77,2220.49,2196.11,2198.6,1755940
2023-02-10,RELIANCE,2182.1,2220.72,2166.03,2187.74,4574898
2023-02-13,RELIANCE,2156.48,2171.42,2151.57,2164.82,5027348
2023-02-14,RELIANCE,2241.37,2248.9,2231.54,2238.89,3890343
2023-02-15,RELIANCE,2234.29,2254.34,2227.66,2239.02,2420367
2023-02-16,RELIANCE,2199.24,2209.87,2185.72,2197.45,1653405
2023-02-17,RELIANCE,2223.19,2234.56,2221.38,2230.9,4291844
2023-02-20,RELIANCE,2182.65,2191.52,2169.68,2183.06,5466522
2023-02-21,RELIANCE,2192.65,2211.85,2187.94,2191.94,2434382
2023-02-22,RELIANCE,2107.12,2129.7,2100.61,2116.61,4104989
2023-02-23,RELIANCE,2063.84,2076.97,2058.55,2067.22,4795575
2023-02-24,RELIANCE,2067.59,2076.67,2061.73,2075.18,2018202
2023-02-27,RELIANCE,2094.4,2131.28,2082.02,2103.58,5007253
2023-02-28,RELIANCE,2121.06,2137.11,2110.51,2110.72,2291947
2023-03-01,RELIANCE,2103.22,2129.84,2100.13,2106.96,3556602
2023-03-02,RELIANCE,2102.7,2113.08,2079.18,2096.2,5174847
2023-03-03,RELIANCE,2036.75,2042.44,2034.34,2041.76,1546913
2023-03-06,RELIANCE,2019.74,2023.39,1990.06,2016.08,1926962
2023-03-07,RELIANCE,2005.23,2008.85,1994.37,2000.03,1232787
2023-03-08,RELIANCE,2041.02,2046.3,2021.46,2039.07,2419552
2023-03-09,RELIANCE,2051.75,2071.1,2044.22,2052.33,4354030
2023-03-10,RELIANCE,1987.07,2010.48,1983.26,1988.82,1837348
2023-03-13,RELIANCE,1998.04,2002.29,1985.14,2001.06,5132980
2023-03-14,RELIANCE,1996.37,2013.13,1981.1,1987.83,2423403
2023-03-15,RELIANCE,1970.84,1975.98,1962.97,1964.35,2196731
2023-03-16,RELIANCE,1995.93,2002.78,1974.45,1986.69,5195608
2023-03-17,RELIANCE,2016.9,2033.06,2014.81,2024.51,1441143
2023-03-20,RELIANCE,2064.1,2070.82,2050.84,2059.35,3719729
2023-03-21,RELIANCE,2037.97,2047.61,2023.27,2029.08,5143915
2023-03-22,RELIANCE,2012.0,2038.37,2006.11,2018.43,5223709
2023-03-23,RELIANCE,2022.31,2034.06,2005.61,2031.11,983212
2023-03-24,RELIANCE,2072.7,2083.34,2063.76,2067.71,5379139
2023-03-27,RELIANCE,2052.1,2053.45,2038.61,2050.57,2944151
2023-03-28,RELIANCE,2051.33,2072.93,2039.89,2044.34,3090796
2023-03-29,RELIANCE,1997.41,2014.78,1985.44,2004.63,1720123
2023-03-30,RELIANCE,1968.31,1995.32,1956.42,1962.52,4374211
2023-03-31,RELIANCE,1986.09,1992.63,1984.75,1992.03,1846506
2023-04-03,RELIANCE,2035.0,2063.33,2034.85,2041.87,4558520
2023-04-04,RELIANCE,2032.99,2041.76,2025.14,2039.84,4407896
2023-04-05,RELIANCE,2084.18,2094.4,2071.16,2077.64,1160601
2023-04-06,RELIANCE,2095.3,2107.91,2090.63,2091.84,3612449
2023-04-07,RELIANCE,2068.79,2078.58,2064.11,2068.31,5089298
2023-04-10,RELIANCE,2079.49,2089.12,2070.62,2082.43,2142820
2023-04-11,RELIANCE,2149.61,2177.95,2137.16,2141.53,2237660
2023-04-12,RELIANCE,2138.49,2147.57,2131.27,2140.79,1021288
2023-04-13,RELIANCE,2209.57,2245.93,2198.87,2202.6,6274932
2023-04-14,RELIANCE,2100.5,2125.54,2083.23,2101.78,4790115
2023-04-17,RELIANCE,2131.12,2145.16,2127.12,2133.75,4027719
2023-04-18,RELIANCE,2136.93,2149.52,2134.68,2137.73,2638228
2023-04-19,RELIANCE,2122.68,2133.28,2113.35,2126.9,2760265
2023-04-20,RELIANCE,2136.33,2150.83,2116.87,2131.05,2180176
2023-04-21,RELIANCE,2056.83,2057.55,2039.16,2056.77,4058827
2023-04-24,RELIANCE,2043.78,2049.32,2028.52,2049.27,2362167
2023-04-25,RELIANCE,2071.35,2088.73,2050.48,2063.11,2523879
2023-04-26,RELIANCE,2116.9,2141.91,2111.38,2119.36,4509161
2023-04-27,RELIANCE,2101.22,2114.38,2074.73,2100.31,1623129
2023-04-28,RELIANCE,2079.01,2082.32,2064.95,2070.59,1375648
2023-05-01,RELIANCE,2055.14,2055.54,2050.74,2052.59,1999547
2023-05-02,RELIANCE,2079.32,2090.45,2063.9,2087.32,4290374
2023-05-03,RELIANCE,2109.57,2140.2,2080.27,2100.33,2090893
2023-05-04,RELIANCE,2083.69,2087.4,2060.41,2081.03,2457673
2023-05-05,RELIANCE,2097.5,2111.2,2085.42,2100.97,3647718
2023-05-08,RELIANCE,2097.69,2120.3,2087.45,2105.28,2968087
2023-05-09,RELIANCE,2149.25,2153.47,2137.02,2142.95,2043086
